hospital_unique_identifier,masked_name,collaborative,measure,race,period_start_date,period_end_date,numerator,denominator,measure_display_type,non_participating_hospital,created_at,updated_at,bundle_identifier
120001,Simga Rho Theta,HI,biological_parent_discharge,all,10/1/2024,12/31/2024,1,1,Numerator/Denominator,,01/27/2025 at 07:22 PM,01/27/2025 at 07:22 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,7/1/2024,9/30/2024,0,0,Numerator/Denominator,,10/24/2024 at 04:16 PM,10/24/2024 at 04:16 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,4/1/2024,6/30/2024,0,0,Numerator/Denominator,,08/07/2024 at 03:46 PM,08/07/2024 at 03:46 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,1/1/2024,3/31/2024,0,0,Numerator/Denominator,,05/14/2024 at 07:06 PM,05/14/2024 at 07:06 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,10/1/2023,12/31/2023,0,0,Numerator/Denominator,,02/02/2024 at 04:43 PM,02/02/2024 at 04:43 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,7/1/2023,9/30/2023,0,0,Numerator/Denominator,,12/12/2023 at 07:14 PM,12/12/2023 at 07:14 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,4/1/2023,6/30/2023,0,0,Numerator/Denominator,,12/12/2023 at 07:10 PM,12/12/2023 at 07:10 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,1/1/2023,3/31/2023,1,1,Numerator/Denominator,,12/12/2023 at 06:29 PM,12/12/2023 at 06:29 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,10/1/2022,12/31/2022,3,6,Numerator/Denominator,,03/29/2023 at 11:39 PM,03/29/2023 at 11:39 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,4/1/2025,6/30/2025,0,0,Numerator/Denominator,,07/17/2025 at 01:26 PM,07/17/2025 at 01:26 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,7/1/2022,9/30/2022,0,0,Numerator/Denominator,,02/01/2023 at 05:28 PM,02/01/2023 at 05:28 PM,cppsud
120001,Simga Rho Theta,HI,biological_parent_discharge,all,1/1/2025,3/31/2025,2,2,Numerator/Denominator,,04/23/2025 at 01:29 PM,04/23/2025 at 01:29 PM,cppsud
120001,Simga Rho Theta,HI,hem_risk_assessment,all,10/1/2022,12/31/2022,322,322,Numerator/Denominator,,03/29/2023 at 11:57 PM,03/29/2023 at 11:57 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_nursing_education,all,10/1/2022,12/31/2022,95,100,Range,,03/29/2023 at 11:57 PM,03/29/2023 at 11:57 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_nursing_education,all,7/1/2022,9/30/2022,95,100,Range,,01/09/2023 at 07:29 PM,01/09/2023 at 07:29 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_nursing_education,all,4/1/2022,6/30/2022,95,100,Range,,08/08/2022 at 10:26 PM,01/09/2023 at 07:27 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_nursing_education,all,1/1/2022,3/31/2022,95,100,Range,,06/02/2022 at 08:02 PM,06/02/2022 at 08:02 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_nursing_education,all,10/1/2021,12/31/2021,95,100,Range,,02/11/2022 at 07:57 PM,02/11/2022 at 07:57 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_nursing_education,all,7/1/2021,9/30/2021,95,100,Range,,10/15/2021 at 10:43 PM,10/15/2021 at 10:43 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_nursing_education,all,4/1/2021,6/30/2021,95,100,Range,,07/15/2021 at 06:26 PM,07/15/2021 at 06:26 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_nursing_education_and_protocol,all,7/1/2021,9/30/2021,95,100,Range,,10/15/2021 at 10:43 PM,10/15/2021 at 10:43 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_nursing_education_and_protocol,all,4/1/2021,6/30/2021,95,100,Range,,07/15/2021 at 06:26 PM,07/15/2021 at 06:26 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_provider_education,all,10/1/2022,12/31/2022,25,100,Range,,03/29/2023 at 11:57 PM,03/29/2023 at 11:57 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_provider_education,all,7/1/2022,9/30/2022,15,100,Range,,01/09/2023 at 07:29 PM,01/09/2023 at 07:29 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_provider_education,all,4/1/2022,6/30/2022,15,100,Range,,08/08/2022 at 10:26 PM,01/09/2023 at 07:27 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_provider_education,all,1/1/2022,3/31/2022,35,100,Range,,06/02/2022 at 08:02 PM,06/02/2022 at 08:02 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_provider_education,all,10/1/2021,12/31/2021,35,100,Range,,02/11/2022 at 07:57 PM,02/11/2022 at 07:57 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_provider_education,all,7/1/2021,9/30/2021,35,100,Range,,10/15/2021 at 10:43 PM,10/15/2021 at 10:43 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_provider_education,all,4/1/2021,6/30/2021,35,100,Range,,07/15/2021 at 06:26 PM,07/15/2021 at 06:26 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_provider_education_and_protocol,all,7/1/2021,9/30/2021,35,100,Range,,10/15/2021 at 10:43 PM,10/15/2021 at 10:43 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_provider_education_and_protocol,all,4/1/2021,6/30/2021,35,100,Range,,07/15/2021 at 06:26 PM,07/15/2021 at 06:26 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_risk_assessment,all,7/1/2022,9/30/2022,95,100,Range,,01/09/2023 at 07:29 PM,01/09/2023 at 07:29 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_risk_assessment,all,4/1/2022,6/30/2022,95,100,Range,,08/08/2022 at 10:26 PM,01/09/2023 at 07:27 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_risk_assessment,all,1/1/2022,3/31/2022,95,100,Range,,06/02/2022 at 08:02 PM,06/02/2022 at 08:02 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_risk_assessment,all,10/1/2021,12/31/2021,95,100,Range,,02/11/2022 at 07:57 PM,02/11/2022 at 07:57 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_risk_assessment,all,7/1/2021,9/30/2021,95,100,Range,,10/15/2021 at 10:35 PM,10/15/2021 at 10:35 PM,hemorrhage
120001,Simga Rho Theta,HI,hemorrhage_risk_assessment,all,4/1/2021,6/30/2021,95,100,Range,,07/15/2021 at 06:26 PM,07/15/2021 at 06:26 PM,hemorrhage
120001,Simga Rho Theta,HI,medication_assisted_treatment_referral,all,7/1/2023,9/30/2023,0,0,Numerator/Denominator,,12/12/2023 at 07:14 PM,12/12/2023 at 07:14 PM,cppsud
120001,Simga Rho Theta,HI,medication_assisted_treatment_referral,all,4/1/2023,6/30/2023,0,0,Numerator/Denominator,,12/12/2023 at 07:10 PM,12/12/2023 at 07:10 PM,cppsud
120001,Simga Rho Theta,HI,medication_assisted_treatment_referral,all,1/1/2023,3/31/2023,1,1,Numerator/Denominator,,12/12/2023 at 06:29 PM,12/12/2023 at 06:29 PM,cppsud
120001,Simga Rho Theta,HI,medication_assisted_treatment_referral,all,10/1/2022,12/31/2022,0,0,Numerator/Denominator,,03/29/2023 at 11:39 PM,03/29/2023 at 11:39 PM,cppsud
