hospital_unique_identifier,masked_name,collaborative,measure,race,period_start_date,period_end_date,numerator,denominator,measure_display_type,non_participating_hospital,created_at,updated_at,bundle_identifier
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,1/1/2016,3/31/2016,1,452,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,4/1/2016,6/30/2016,0,458,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,7/1/2016,9/30/2016,1,493,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,10/1/2016,12/31/2016,0,474,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,1/1/2017,3/31/2017,2,419,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,4/1/2017,6/30/2017,2,382,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,7/1/2017,9/30/2017,1,393,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,10/1/2017,12/31/2017,4,384,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,1/1/2018,3/31/2018,3,384,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,4/1/2018,6/30/2018,3,368,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,7/1/2018,9/30/2018,0,369,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,10/1/2018,12/31/2018,2,376,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,1/1/2019,3/31/2019,4,335,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
120001,Simga Rho Theta,HI,severe_maternal_morbidity,all,4/1/2019,6/30/2019,3,334,Numerator/Denominator,,02/05/2022 at 06:42 PM,02/05/2022 at 06:42 PM,"preeclampsia,hemorrhage,cesarean_reduction,vte,texas_preeclampsia,cppsud,ppdt,ccoc"
